                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2489,                0.67663,                0.90897,                0.71887,                0.44068,                0.47208,                0.29377,                 1.3392,                0.76697,                0.94089,             0.00061504,             0.00061504,             0.00061504
                     37,                 1.2114,                0.64957,                0.90724,                0.71376,                0.39411,                0.44205,                0.27592,                 1.3526,                0.82643,                0.94559,             0.00061221,             0.00061221,             0.00061221
                     38,                  1.225,                0.66767,                 0.9076,                0.72615,                0.41555,                0.44932,                0.27922,                 1.3583,                0.75605,                0.94355,             0.00060938,             0.00060938,             0.00060938
                     39,                 1.2206,                0.65052,                0.91637,                0.73083,                0.39316,                0.44107,                  0.279,                 1.3455,                0.74408,                0.93764,             0.00060656,             0.00060656,             0.00060656
                     40,                  1.227,                0.66505,                 0.8989,                0.77862,                0.41583,                0.46895,                0.29355,                 1.3619,                0.76723,                0.94441,             0.00060373,             0.00060373,             0.00060373
                     41,                 1.1789,                0.64917,                0.91313,                0.69103,                0.42713,                0.45613,                0.28418,                 1.3428,                0.78316,                 0.9371,              0.0006009,              0.0006009,              0.0006009
                     42,                 1.1929,                0.65307,                0.89659,                0.64221,                0.42254,                0.45506,                0.28682,                 1.3211,                0.76901,                 0.9361,             0.00059807,             0.00059807,             0.00059807
                     43,                  1.183,                0.63862,                 0.8953,                0.62234,                0.41922,                0.44463,                0.27381,                 1.4073,                0.77876,                0.95787,             0.00059525,             0.00059525,             0.00059525
                     44,                 1.2173,                0.63591,                 0.8924,                0.68846,                0.41505,                0.46196,                0.28963,                 1.3364,                0.75518,                0.93874,             0.00059242,             0.00059242,             0.00059242
                     45,                  1.155,                0.62351,                0.89234,                 0.7112,                 0.4357,                0.46702,                 0.2938,                 1.3351,                0.76341,                0.93955,             0.00058959,             0.00058959,             0.00058959
                     46,                 1.1428,                0.61182,                0.89567,                0.72751,                0.43344,                0.47252,                 0.2976,                 1.3269,                0.75202,                0.93302,             0.00058677,             0.00058677,             0.00058677
                     47,                 1.1954,                0.65299,                0.90066,                0.68458,                0.44572,                0.48167,                0.30291,                  1.304,                0.73417,                0.93778,             0.00058394,             0.00058394,             0.00058394
                     48,                   1.12,                0.59744,                0.89367,                0.73249,                0.44085,                0.48386,                0.30748,                 1.2918,                0.75547,                0.92879,             0.00058111,             0.00058111,             0.00058111
                     49,                 1.1418,                 0.6121,                0.89053,                0.54491,                0.09149,                0.17442,                0.13181,                 1.3374,                    inf,                0.94012,             0.00057828,             0.00057828,             0.00057828
                     50,                 1.1608,                0.62521,                0.88964,                0.67095,                  0.417,                0.43616,                0.26923,                 1.3405,                  1.503,                0.94641,             0.00057546,             0.00057546,             0.00057546
                     51,                 1.1796,                0.63312,                0.88945,                0.60716,                0.28466,                0.32135,                 0.2305,                 1.2983,                    inf,                0.93415,             0.00057263,             0.00057263,             0.00057263
                     52,                 1.2049,                0.64188,                0.90039,                0.73166,                0.42265,                0.46051,                0.28339,                 1.3621,                0.77518,                0.94242,              0.0005698,              0.0005698,              0.0005698
                     53,                 1.1211,                0.61953,                0.88761,                0.71892,                0.44013,                0.47236,                0.29831,                 1.3122,                0.75413,                 0.9324,             0.00056697,             0.00056697,             0.00056697
                     54,                 1.1554,                0.61929,                0.88759,                 0.7419,                0.44851,                0.48865,                0.30531,                 1.3215,                0.72579,                0.93606,             0.00056415,             0.00056415,             0.00056415
                     55,                 1.1249,                0.59856,                0.88429,                0.74548,                0.43418,                0.48002,                 0.3048,                 1.3091,                0.72691,                0.93438,             0.00056132,             0.00056132,             0.00056132
                     56,                 1.1081,                0.58611,                0.87743,                0.64372,                0.43777,                0.46744,                0.29681,                 1.3253,                0.75803,                0.93651,             0.00055849,             0.00055849,             0.00055849
                     57,                  1.134,                0.62186,                0.89238,                0.70452,                0.42999,                0.47611,                0.30154,                 1.2931,                0.73938,                0.93169,             0.00055566,             0.00055566,             0.00055566
                     58,                 1.0991,                0.58687,                0.87509,                 0.7445,                0.43003,                0.47411,                0.29413,                  1.348,                0.75973,                 0.9422,             0.00055284,             0.00055284,             0.00055284
                     59,                 1.1437,                0.59974,                0.87693,                0.79774,                0.41571,                0.48211,                0.30453,                 1.3181,                0.72428,                0.92788,             0.00055001,             0.00055001,             0.00055001
                     60,                 1.1694,                 0.5984,                0.86804,                0.71279,                0.44814,                0.48075,                0.30983,                 1.2903,                0.71468,                0.92639,             0.00054718,             0.00054718,             0.00054718
                     61,                 1.1063,                0.56766,                0.87391,                0.75558,                0.44204,                0.48307,                0.31368,                 1.2662,                0.71772,                0.92825,             0.00054435,             0.00054435,             0.00054435
                     62,                 1.1212,                0.57927,                0.88363,                0.76289,                   0.44,                0.48878,                0.31585,                 1.2863,                0.72213,                0.92867,             0.00054153,             0.00054153,             0.00054153
                     63,                  1.119,                0.58283,                0.87083,                0.73293,                  0.429,                0.47035,                0.29821,                 1.3178,                 0.7314,                0.93606,              0.0005387,              0.0005387,              0.0005387
                     64,                 1.1488,                0.59344,                0.87965,                0.73826,                0.44551,                0.49409,                0.31671,                 1.2834,                0.71048,                 0.9321,             0.00053587,             0.00053587,             0.00053587
                     65,                 1.1271,                0.57369,                0.86896,                 0.7407,                0.45205,                0.49444,                0.32143,                 1.2666,                0.68956,                0.92207,             0.00053304,             0.00053304,             0.00053304
                     66,                 1.1205,                0.57398,                0.87261,                0.72986,                0.45676,                0.49486,                0.32128,                 1.2875,                0.71482,                 0.9234,             0.00053022,             0.00053022,             0.00053022
                     67,                 1.1191,                0.57806,                0.86577,                0.68949,                0.44413,                 0.4847,                0.31357,                 1.2713,                0.70674,                0.92023,             0.00052739,             0.00052739,             0.00052739
                     68,                 1.0203,                0.53635,                0.86664,                0.74917,                0.44614,                0.48877,                 0.3173,                 1.2713,                0.71364,                 0.9222,             0.00052456,             0.00052456,             0.00052456
                     69,                 1.1099,                0.55717,                0.86875,                0.70853,                0.42947,                0.48707,                0.30758,                  1.321,                0.73231,                0.93091,             0.00052173,             0.00052173,             0.00052173
                     70,                 1.0776,                0.55352,                0.86362,                 0.7844,                0.46199,                0.50581,                0.32035,                 1.2697,                0.69621,                0.92169,             0.00051891,             0.00051891,             0.00051891
                     71,                 1.0571,                0.55753,                0.86706,                0.77245,                0.44907,                0.50064,                0.32193,                 1.2662,                0.70531,                0.92242,             0.00051608,             0.00051608,             0.00051608
                     72,                 1.0816,                0.54656,                0.86451,                0.77728,                0.45053,                0.50392,                0.32666,                 1.2589,                 0.7013,                0.92258,             0.00051325,             0.00051325,             0.00051325
                     73,                 1.0547,                0.54596,                0.86975,                0.69213,                0.45506,                0.50294,                0.32323,                 1.2675,                0.68702,                0.92604,             0.00051042,             0.00051042,             0.00051042
                     74,                  1.095,                0.56134,                0.86047,                0.79285,                0.45432,                0.50763,                0.32597,                 1.2918,                0.69443,                0.92955,              0.0005076,              0.0005076,              0.0005076
                     75,                  1.065,                0.54566,                0.86962,                0.75942,                0.46157,                0.50243,                0.32359,                 1.2739,                0.71058,                0.92402,             0.00050477,             0.00050477,             0.00050477
                     76,                 1.1349,                 0.5945,                0.87927,                0.72146,                0.44184,                0.49394,                0.31181,                 1.3041,                0.74013,                0.93264,             0.00050194,             0.00050194,             0.00050194
                     77,                 1.1645,                 0.5812,                0.86778,                  0.683,                0.45787,                0.50563,                0.32901,                 1.2676,                0.69041,                0.92677,             0.00049911,             0.00049911,             0.00049911
                     78,                 1.0274,                0.53642,                0.86951,                0.76775,                0.45241,                0.49568,                0.31595,                 1.3059,                0.69373,                0.92366,             0.00049629,             0.00049629,             0.00049629
                     79,                 1.0761,                0.55087,                0.86136,                0.76528,                0.46664,                 0.5124,                0.33302,                 1.2601,                0.71583,                0.92256,             0.00049346,             0.00049346,             0.00049346
                     80,                 1.0879,                0.54936,                0.86628,                 0.7735,                0.45197,                0.50446,                0.32848,                 1.2575,                0.70882,                0.92147,             0.00049063,             0.00049063,             0.00049063
                     81,                 1.0068,                 0.5261,                0.86266,                0.76163,                0.45704,                0.50253,                 0.3242,                 1.2721,                0.69823,                0.92428,              0.0004878,              0.0004878,              0.0004878
                     82,                 1.0862,                0.55557,                0.85924,                0.79029,                0.45292,                0.50872,                0.32795,                  1.282,                 0.6981,                0.92847,             0.00048498,             0.00048498,             0.00048498
                     83,                  1.023,                0.52782,                0.85857,                 0.7627,                0.45716,                0.50494,                0.32279,                 1.2838,                0.69551,                0.93022,             0.00048215,             0.00048215,             0.00048215
                     84,                 1.0583,                0.54447,                0.85904,                0.73804,                0.43375,                 0.4924,                0.31774,                 1.2929,                0.70077,                0.93396,             0.00047932,             0.00047932,             0.00047932
                     85,                 1.0857,                 0.5423,                0.86724,                0.72418,                0.43698,                0.48473,                0.31424,                 1.2974,                0.70489,                0.92806,              0.0004765,              0.0004765,              0.0004765
