                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7559,                 1.9766,                 1.1301,                0.51911,                0.27182,                0.27213,                0.15402,                 1.6499,                 1.3438,                 1.0237,             0.00016489,             0.00016489,             0.00016489
                      2,                 1.5748,                 1.1131,                 1.0135,                0.60494,                0.30707,                0.32578,                0.18392,                 1.5779,                 1.1235,                 1.0215,             0.00032828,             0.00032828,             0.00032828
                      3,                 1.6153,                  1.088,                 1.0319,                0.54832,                0.29277,                0.31907,                0.18061,                 1.6203,                 1.1396,                 1.0247,             0.00048836,             0.00048836,             0.00048836
                      4,                 1.5851,                 1.0245,                 1.0107,                0.63301,                0.31266,                0.33934,                0.18991,                 1.6279,                 1.0514,                 1.0216,             0.00048515,             0.00048515,             0.00048515
                      5,                 1.5056,                0.96932,                0.99355,                0.50273,                0.37391,                0.38262,                0.22276,                 1.5557,                 1.0438,                0.99286,              0.0004802,              0.0004802,              0.0004802
                      6,                 1.5248,                0.90982,                0.98511,                0.59048,                0.38199,                0.40052,                0.24305,                 1.4845,                0.89427,                0.97503,             0.00047525,             0.00047525,             0.00047525
                      7,                 1.4433,                0.87621,                0.97905,                0.61001,                0.34202,                0.39577,                0.23252,                 1.4767,                0.96437,                0.97151,              0.0004703,              0.0004703,              0.0004703
                      8,                 1.4524,                0.88102,                0.98164,                0.61413,                0.38624,                0.41829,                0.25221,                 1.4776,                0.87889,                 0.9704,             0.00046535,             0.00046535,             0.00046535
                      9,                 1.4455,                0.85763,                0.96196,                0.59355,                0.38162,                0.41197,                0.25058,                 1.4385,                0.86772,                0.95786,              0.0004604,              0.0004604,              0.0004604
                     10,                 1.3795,                0.81822,                0.95787,                0.62179,                0.37251,                0.41744,                0.25607,                 1.4609,                0.87239,                  0.965,             0.00045545,             0.00045545,             0.00045545
                     11,                  1.362,                0.80569,                0.94901,                0.76219,                 0.3643,                 0.4373,                0.26679,                 1.4135,                 0.8456,                0.95487,              0.0004505,              0.0004505,              0.0004505
