                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2235,                0.65772,                0.90119,                0.66749,                0.37632,                0.40267,                0.23972,                 1.5376,                0.86854,                0.95009,             0.00064533,             0.00064533,             0.00064533
                     36,                 1.2217,                0.63879,                0.91384,                0.66502,                0.38847,                0.40663,                0.24564,                 1.4673,                0.84755,                0.93131,             0.00064331,             0.00064331,             0.00064331
                     37,                 1.2232,                0.63332,                0.89524,                0.74787,                0.37113,                0.41528,                0.25152,                 1.5112,                   0.85,                0.94118,             0.00064129,             0.00064129,             0.00064129
                     38,                 1.2158,                0.63682,                0.89535,                0.68499,                 0.4021,                0.43252,                0.27275,                 1.3737,                0.79223,                0.91981,             0.00063927,             0.00063927,             0.00063927
                     39,                 1.1718,                0.62893,                0.90448,                0.70594,                0.40278,                0.43523,                0.26578,                 1.4421,                0.82749,                 0.9261,             0.00063726,             0.00063726,             0.00063726
                     40,                 1.1488,                 0.6061,                0.89144,                0.69473,                0.40257,                0.43545,                0.26985,                 1.4442,                 0.7962,                0.92788,             0.00063524,             0.00063524,             0.00063524
                     41,                 1.1577,                0.62806,                0.89496,                0.69783,                0.39233,                0.43227,                0.26864,                  1.404,                0.85283,                0.92848,             0.00063322,             0.00063322,             0.00063322
                     42,                 1.1849,                0.69374,                0.89159,                0.65832,                0.37605,                0.41335,                0.25658,                 1.4019,                0.89884,                 0.9243,              0.0006312,              0.0006312,              0.0006312
                     43,                 1.2122,                0.63848,                0.90327,                0.70855,                 0.3584,                0.41015,                0.25429,                 1.4325,                0.87494,                0.92911,             0.00062918,             0.00062918,             0.00062918
                     44,                 1.1594,                0.63313,                0.89872,                0.67078,                0.37814,                0.41077,                 0.2489,                 1.4833,                0.89285,                0.93442,             0.00062716,             0.00062716,             0.00062716
                     45,                 1.2116,                0.65488,                0.89789,                0.68281,                0.38303,                 0.4149,                0.25279,                 1.4481,                0.85252,                0.93484,             0.00062514,             0.00062514,             0.00062514
                     46,                  1.223,                0.65706,                0.89615,                0.72811,                0.34624,                0.41079,                0.24374,                 1.5112,                0.86623,                0.94206,             0.00062312,             0.00062312,             0.00062312
                     47,                 1.2113,                0.64677,                0.90013,                0.67326,                0.39145,                0.42732,                0.25867,                 1.4775,                0.83149,                0.93513,              0.0006211,              0.0006211,              0.0006211
                     48,                 1.1076,                0.60544,                0.90058,                0.68961,                0.39096,                0.42441,                0.26578,                 1.4037,                0.81335,                0.92837,             0.00061908,             0.00061908,             0.00061908
                     49,                 1.1029,                0.58113,                 0.8842,                 0.7013,                0.40527,                0.43673,                0.26371,                 1.4808,                0.80395,                 0.9386,             0.00061706,             0.00061706,             0.00061706
                     50,                 1.1148,                0.59253,                0.89039,                0.71242,                0.40535,                0.43792,                0.27242,                  1.384,                0.81789,                0.92133,             0.00061504,             0.00061504,             0.00061504
                     51,                 1.1401,                0.60225,                0.89527,                0.70356,                0.41015,                0.43953,                0.27553,                 1.4242,                  0.792,                 0.9318,             0.00061302,             0.00061302,             0.00061302
                     52,                 1.0818,                0.57477,                0.88148,                0.70714,                0.42324,                0.45697,                0.28436,                 1.4024,                 0.7632,                0.92007,               0.000611,               0.000611,               0.000611
                     53,                 1.0924,                0.57139,                0.87698,                0.68965,                0.42732,                0.46246,                0.28741,                 1.3874,                0.77887,                0.91846,             0.00060898,             0.00060898,             0.00060898
                     54,                 1.0446,                 0.5371,                0.87456,                0.73134,                0.39804,                0.45054,                0.28218,                 1.3846,                0.76433,                0.91425,             0.00060696,             0.00060696,             0.00060696
                     55,                 1.1121,                0.58832,                 0.8817,                 0.7047,                 0.4088,                0.44779,                0.27537,                 1.4009,                0.78401,                0.92411,             0.00060494,             0.00060494,             0.00060494
                     56,                 1.0557,                0.55776,                0.87281,                0.73132,                0.41652,                0.45937,                0.28642,                 1.4158,                0.74324,                0.92451,             0.00060292,             0.00060292,             0.00060292
                     57,                 1.0891,                0.57252,                0.88132,                0.70564,                0.39494,                0.44311,                0.28203,                 1.3898,                0.77161,                0.91776,              0.0006009,              0.0006009,              0.0006009
                     58,                 1.0666,                0.56502,                0.87618,                0.74478,                0.39978,                0.45186,                0.28438,                 1.3859,                0.80505,                0.91253,             0.00059888,             0.00059888,             0.00059888
                     59,                 1.1278,                0.59638,                0.88231,                0.75717,                0.39116,                0.44205,                0.27372,                 1.4301,                0.79386,                 0.9206,             0.00059686,             0.00059686,             0.00059686
                     60,                 1.0835,                0.55387,                0.87896,                0.74141,                0.40091,                0.44932,                0.27564,                 1.3911,                0.76443,                0.91886,             0.00059484,             0.00059484,             0.00059484
                     61,                  1.125,                0.57993,                0.87439,                0.69192,                0.40788,                  0.442,                0.27565,                 1.4035,                0.76113,                0.92648,             0.00059282,             0.00059282,             0.00059282
                     62,                 1.0736,                0.56155,                0.87863,                0.63261,                0.41283,                0.45037,                0.28222,                 1.3837,                0.76355,                0.92316,              0.0005908,              0.0005908,              0.0005908
                     63,                 1.0223,                0.52492,                0.86589,                0.70754,                0.41127,                  0.463,                0.28716,                 1.3685,                0.75587,                0.91607,             0.00058878,             0.00058878,             0.00058878
                     64,                  1.052,                 0.5476,                0.88777,                0.71289,                0.40784,                0.44334,                0.26985,                 1.4573,                0.76501,                0.92864,             0.00058677,             0.00058677,             0.00058677
                     65,                 1.0947,                 0.5702,                0.87141,                0.70998,                0.39272,                0.44408,                0.27628,                 1.4054,                0.79079,                0.92822,             0.00058475,             0.00058475,             0.00058475
                     66,                 1.0876,                0.55977,                0.87481,                 0.7531,                 0.3876,                0.43552,                0.27356,                 1.3885,                0.77598,                0.91539,             0.00058273,             0.00058273,             0.00058273
                     67,                 1.0427,                0.52985,                0.86443,                0.67759,                0.40902,                0.44233,                0.27861,                 1.3625,                0.74022,                0.91735,             0.00058071,             0.00058071,             0.00058071
                     68,                 1.0796,                 0.5571,                0.87427,                0.70408,                0.41514,                0.45716,                0.28978,                 1.3744,                0.73787,                0.91957,             0.00057869,             0.00057869,             0.00057869
                     69,                 1.0957,                0.55366,                0.87227,                0.75524,                0.41065,                0.46156,                0.28684,                 1.3924,                0.75817,                 0.9227,             0.00057667,             0.00057667,             0.00057667
                     70,                 1.0012,                 0.5057,                0.86737,                0.74188,                0.42209,                 0.4698,                0.29618,                 1.3381,                0.72202,                0.91179,             0.00057465,             0.00057465,             0.00057465
                     71,                 1.0143,                0.52654,                0.86666,                0.72576,                0.40276,                0.45428,                0.28637,                  1.368,                0.75079,                0.91577,             0.00057263,             0.00057263,             0.00057263
                     72,                 1.0835,                0.54608,                  0.869,                0.73831,                 0.4062,                0.46126,                0.28763,                 1.4026,                0.76109,                0.92271,             0.00057061,             0.00057061,             0.00057061
                     73,                 1.0579,                0.55327,                0.87054,                0.73813,                0.41435,                0.45446,                0.28371,                 1.3773,                0.73933,                0.92293,             0.00056859,             0.00056859,             0.00056859
                     74,                 1.1056,                0.55781,                0.85968,                0.72606,                0.41052,                0.45463,                0.28509,                 1.3786,                 0.7679,                0.91287,             0.00056657,             0.00056657,             0.00056657
                     75,                 1.1218,                0.55381,                0.87024,                0.70999,                0.41118,                0.44608,                0.27294,                  1.431,                0.75677,                0.92921,             0.00056455,             0.00056455,             0.00056455
                     76,                 1.0644,                0.53878,                0.86214,                0.74404,                0.40974,                0.46626,                0.29689,                 1.3295,                0.73287,                0.91184,             0.00056253,             0.00056253,             0.00056253
                     77,                 1.0278,                0.52165,                0.87642,                0.75271,                0.39717,                 0.4502,                0.28149,                 1.4199,                0.79869,                0.92897,             0.00056051,             0.00056051,             0.00056051
                     78,                 1.0329,                0.54013,                0.86246,                0.75936,                0.41088,                 0.4669,                0.29649,                 1.3472,                0.74516,                0.91797,             0.00055849,             0.00055849,             0.00055849
                     79,                0.98793,                0.50533,                0.85673,                0.75376,                0.41907,                0.47026,                0.30068,                 1.3195,                0.72196,                0.91629,             0.00055647,             0.00055647,             0.00055647
                     80,                 1.0094,                0.50538,                0.86381,                0.75443,                0.43259,                0.47369,                0.29859,                 1.3661,                0.71457,                0.92008,             0.00055445,             0.00055445,             0.00055445
                     81,                 1.0359,                0.51189,                0.85454,                0.72317,                0.42512,                0.46692,                0.29991,                 1.3266,                0.71347,                0.91182,             0.00055243,             0.00055243,             0.00055243
                     82,                 1.0448,                0.52762,                0.85541,                0.75952,                0.42865,                0.48279,                0.30746,                 1.3379,                0.71376,                 0.9154,             0.00055041,             0.00055041,             0.00055041
                     83,                0.97697,                0.49378,                0.85669,                0.73774,                0.42363,                0.46671,                0.29461,                 1.3684,                0.72377,                0.91438,             0.00054839,             0.00054839,             0.00054839
                     84,                  1.005,                0.50936,                0.85937,                0.72283,                0.41791,                0.46293,                0.29002,                 1.3718,                0.72618,                0.91591,             0.00054637,             0.00054637,             0.00054637
                     85,                0.99092,                0.51482,                0.86042,                0.73824,                0.42688,                0.47105,                0.29429,                 1.3637,                0.73108,                0.91339,             0.00054435,             0.00054435,             0.00054435
                     86,                 1.0095,                 0.5218,                 0.8568,                0.74024,                0.40319,                0.46288,                  0.293,                  1.369,                0.76251,                0.91357,             0.00054233,             0.00054233,             0.00054233
                     87,                 1.0389,                0.51221,                0.86145,                0.75099,                0.41213,                0.46474,                0.29655,                 1.3241,                0.71782,                0.90897,             0.00054031,             0.00054031,             0.00054031
                     88,                 1.0564,                0.53099,                0.86369,                0.74494,                0.42656,                0.47856,                0.30193,                 1.3205,                 0.7028,                0.91321,             0.00053829,             0.00053829,             0.00053829
                     89,                0.95904,                 0.4918,                0.85143,                0.76549,                0.42679,                0.47968,                0.30072,                 1.3504,                0.71225,                0.91968,             0.00053628,             0.00053628,             0.00053628
                     90,                0.96739,                0.49485,                0.86038,                0.73248,                0.42538,                0.46851,                0.29024,                 1.3593,                0.72669,                0.92049,             0.00053426,             0.00053426,             0.00053426
                     91,                0.96932,                0.49013,                0.85702,                 0.7174,                0.41994,                0.46337,                0.28815,                 1.3906,                0.75824,                0.92427,             0.00053224,             0.00053224,             0.00053224
                     92,                 1.0038,                0.51262,                0.85096,                0.72812,                0.41981,                0.46854,                 0.2996,                  1.333,                0.72093,                0.91613,             0.00053022,             0.00053022,             0.00053022
                     93,                0.96992,                 0.4917,                0.85399,                0.72111,                0.43636,                0.47566,                0.29757,                 1.3971,                0.72729,                0.92863,              0.0005282,              0.0005282,              0.0005282
                     94,                0.99058,                0.48802,                0.84847,                0.71982,                0.42054,                0.47106,                0.29918,                 1.3541,                0.71412,                0.91446,             0.00052618,             0.00052618,             0.00052618
                     95,                0.98204,                0.49175,                0.85508,                0.73474,                0.42431,                0.47401,                0.30009,                 1.3272,                0.71431,                0.91476,             0.00052416,             0.00052416,             0.00052416
                     96,                 1.0115,                0.51311,                0.85824,                0.74777,                0.42508,                0.46907,                0.29842,                 1.3552,                0.71685,                0.91716,             0.00052214,             0.00052214,             0.00052214
                     97,                0.96452,                0.47745,                0.84581,                 0.6818,                0.42558,                0.47828,                0.30308,                 1.3454,                0.70862,                0.91874,             0.00052012,             0.00052012,             0.00052012
                     98,                0.97223,                0.49172,                0.84775,                0.73909,                0.42827,                0.47422,                0.30261,                 1.3643,                0.71822,                0.92134,              0.0005181,              0.0005181,              0.0005181
                     99,                 0.9163,                0.46194,                0.84698,                0.77358,                0.42131,                0.47653,                0.30929,                 1.3241,                0.71816,                0.91283,             0.00051608,             0.00051608,             0.00051608
                    100,                0.98487,                0.48075,                0.85341,                0.74165,                0.42802,                0.47143,                0.29608,                  1.394,                0.73267,                0.92641,             0.00051406,             0.00051406,             0.00051406
                    101,                0.98767,                0.48968,                0.85806,                0.75066,                0.42258,                0.47746,                0.30543,                 1.3204,                0.71646,                0.91033,             0.00051204,             0.00051204,             0.00051204
                    102,                0.94018,                0.47479,                0.85235,                0.71839,                0.43329,                 0.4752,                0.30515,                  1.324,                0.72155,                 0.9109,             0.00051002,             0.00051002,             0.00051002
                    103,                0.89818,                0.45033,                  0.843,                0.73178,                0.42428,                0.46882,                0.29676,                 1.3488,                0.72562,                0.91717,               0.000508,               0.000508,               0.000508
                    104,                0.97211,                0.49383,                0.85577,                0.74143,                0.41411,                 0.4599,                 0.2903,                 1.3721,                0.73963,                0.92197,             0.00050598,             0.00050598,             0.00050598
                    105,                0.98228,                0.48673,                0.85069,                0.72034,                0.41353,                0.46016,                0.28633,                 1.4188,                0.74545,                0.92686,             0.00050396,             0.00050396,             0.00050396
                    106,                0.97482,                0.47406,                 0.8509,                0.72998,                0.40993,                0.46126,                0.30002,                 1.3114,                0.73505,                0.90679,             0.00050194,             0.00050194,             0.00050194
                    107,                0.92872,                 0.4669,                0.84036,                0.72889,                0.42055,                0.46989,                0.29929,                 1.3438,                0.72227,                0.91548,             0.00049992,             0.00049992,             0.00049992
                    108,                0.91978,                0.46069,                0.84667,                0.73191,                0.42983,                0.47623,                0.29995,                 1.3586,                0.72233,                0.92106,              0.0004979,              0.0004979,              0.0004979
                    109,                0.93765,                 0.4685,                0.84388,                0.72192,                0.44499,                0.49387,                0.31349,                 1.3297,                0.70437,                0.91373,             0.00049588,             0.00049588,             0.00049588
                    110,                0.88898,                0.45856,                0.84035,                0.73586,                0.43051,                0.48571,                 0.3112,                 1.3202,                0.71383,                0.90884,             0.00049386,             0.00049386,             0.00049386
                    111,                0.93259,                0.46479,                0.84105,                0.75924,                0.42571,                0.48768,                0.30838,                 1.3417,                0.71479,                0.91238,             0.00049184,             0.00049184,             0.00049184
                    112,                0.92628,                0.46284,                0.84437,                0.76409,                0.41581,                0.48128,                0.31431,                 1.3008,                0.71735,                0.91075,             0.00048982,             0.00048982,             0.00048982
                    113,                0.92662,                0.46589,                0.84898,                  0.745,                0.42292,                0.47858,                0.30367,                 1.3681,                 0.7233,                0.92225,              0.0004878,              0.0004878,              0.0004878
